"id","category","opened","platform","clicked","purchase_value"
"User 317","A","Yes","Desktop","Yes",0
"User 1293","A","Yes","Desktop","No",0
"User 1492","A","Yes","Desktop","No",0
"User 1225","A","Yes","Desktop","Yes",31.095484929975
"User 650","A","Yes","Desktop","No",37.1857683730639
"User 573","A","Yes","Desktop","Yes",70.7715253717611
"User 143","A","Yes","Desktop","No",0
"User 612","A","Yes","Desktop","No",0
"User 1583","A","Yes","Desktop","No",29.8494761359
"User 537","A","Yes","Desktop","No",79.7104060141599
"User 1197","A","Yes","Desktop","No",48.0147986530031
"User 325","A","Yes","Desktop","No",47.6002691016621
"User 622","A","Yes","Desktop","Yes",108.350391448772
"User 1945","A","Yes","Desktop","No",52.2897308270682
"User 49","A","Yes","Desktop","Yes",0
"User 1508","A","Yes","Desktop","Yes",48.2427080969608
"User 583","A","Yes","Desktop","No",144.110917519622
"User 793","A","Yes","Desktop","No",54.8508518559322
"User 532","A","Yes","Desktop","No",39.0939256351627
"User 215","A","Yes","Desktop","Yes",0
"User 1850","A","Yes","Desktop","No",52.0842935746557
"User 577","A","Yes","Desktop","No",0
"User 941","A","Yes","Desktop","No",0
"User 1733","A","Yes","Desktop","No",47.0874051335142
"User 1626","A","Yes","Desktop","No",104.058112700201
"User 1995","A","Yes","Desktop","No",31.7403632015935
"User 994","A","Yes","Desktop","No",26.9287933061153
"User 1792","A","Yes","Desktop","Yes",0
"User 59","A","Yes","Desktop","No",46.6120096779812
"User 324","A","Yes","Desktop","No",89.3747058395931
"User 1392","A","Yes","Desktop","Yes",0
"User 1630","A","Yes","Desktop","No",48.8117639214611
"User 1524","A","Yes","Desktop","Yes",0
"User 1424","A","Yes","Desktop","No",0
"User 1101","A","Yes","Desktop","No",0
"User 193","A","Yes","Desktop","No",95.3828218992028
"User 353","A","Yes","Desktop","Yes",43.7801129642177
"User 206","A","Yes","Desktop","No",123.058256175102
"User 1138","A","Yes","Desktop","No",33.3435645417685
"User 1585","A","Yes","Desktop","Yes",0
"User 1669","A","Yes","Desktop","No",33.7143136883318
"User 491","A","Yes","Desktop","No",39.2213058400796
"User 1529","A","Yes","Desktop","No",72.9305280278391
"User 111","A","Yes","Desktop","No",60.796650466177
"User 636","A","Yes","Desktop","No",62.6528652873143
"User 1751","A","Yes","Desktop","No",49.2523676344163
"User 457","A","Yes","Desktop","No",23.0768376178857
"User 1586","A","Yes","Desktop","No",0
"User 1908","A","Yes","Desktop","No",0
"User 25","A","Yes","Desktop","No",92.959054826517
"User 1368","A","Yes","Desktop","No",38.9376144255439
"User 623","A","Yes","Desktop","No",116.794438802511
"User 1297","A","Yes","Desktop","Yes",23.6075889826059
"User 864","A","Yes","Desktop","Yes",89.2075537938194
"User 43","A","Yes","Desktop","No",62.6134582888973
"User 1701","A","Yes","Desktop","Yes",0
"User 1062","A","Yes","Desktop","Yes",0
"User 508","A","Yes","Desktop","Yes",30.2654288069996
"User 1815","A","Yes","Desktop","No",108.06462030956
"User 1569","A","Yes","Desktop","No",108.595323474237
"User 414","A","Yes","Desktop","No",40.0897595004214
"User 681","A","Yes","Desktop","Yes",54.729527850788
"User 170","A","Yes","Desktop","No",0
"User 1879","A","Yes","Desktop","No",130.00200633752
"User 1321","A","Yes","Desktop","No",63.4181752869048
"User 67","A","Yes","Desktop","No",0
"User 140","A","Yes","Desktop","No",0
"User 101","A","Yes","Desktop","Yes",94.0122214172259
"User 511","A","Yes","Desktop","Yes",0
"User 1420","A","Yes","Desktop","No",28.6778972743078
"User 1405","A","Yes","Desktop","No",96.0808843906856
"User 931","A","Yes","Desktop","No",76.6898093557476
"User 175","A","Yes","Desktop","No",0
"User 1708","A","Yes","Desktop","Yes",76.4880328394473
"User 1753","A","Yes","Desktop","Yes",35.11634820242
"User 334","A","Yes","Desktop","No",31.1439214316503
"User 1873","A","Yes","Desktop","No",37.319332203423
"User 167","A","Yes","Desktop","No",0
"User 1369","A","Yes","Desktop","Yes",96.2939823957883
"User 1077","A","Yes","Desktop","Yes",50.7480634103358
"User 1188","A","Yes","Desktop","No",80.8363348489058
"User 1198","A","Yes","Desktop","No",0
"User 777","A","Yes","Desktop","Yes",22.4192460705837
"User 418","A","Yes","Desktop","No",76.7539319908937
"User 277","A","Yes","Desktop","No",82.4517449045415
"User 953","A","Yes","Desktop","No",52.8743915717649
"User 1227","A","Yes","Desktop","Yes",0
"User 1061","A","Yes","Desktop","No",0
"User 1937","A","Yes","Desktop","No",27.7990790285788
"User 1604","A","Yes","Desktop","No",68.2727713291809
"User 1211","A","Yes","Desktop","No",83.7021081529352
"User 349","A","Yes","Desktop","No",45.8915164950359
"User 1035","A","Yes","Desktop","No",26.9615442298012
"User 1914","A","Yes","Desktop","No",0
"User 1573","A","Yes","Desktop","No",0
"User 563","A","Yes","Desktop","No",48.3466090930087
"User 1401","A","Yes","Desktop","No",0
"User 229","A","Yes","Desktop","No",53.0501888744624
"User 1429","A","Yes","Desktop","No",67.7026161882282
"User 8","A","Yes","Desktop","No",75.3274674067894
"User 1143","A","Yes","Desktop","No",0
"User 2000","A","Yes","Desktop","No",102.736224107169
"User 364","A","Yes","Desktop","Yes",0
"User 1574","A","Yes","Desktop","No",72.1999803033612
"User 148","A","Yes","Desktop","No",61.0432231758094
"User 1783","A","Yes","Desktop","No",0
"User 839","A","Yes","Desktop","No",108.384207516791
"User 1869","A","Yes","Desktop","No",59.8178201590695
"User 661","A","Yes","Desktop","No",34.4694308868607
"User 674","A","Yes","Desktop","No",0
"User 1731","A","Yes","Desktop","No",48.5974066828669
"User 1504","A","Yes","Desktop","Yes",48.6110170737284
"User 655","A","Yes","Desktop","No",74.8514641474441
"User 1252","A","Yes","Desktop","No",43.6359075925808
"User 812","A","Yes","Desktop","No",0
"User 837","A","Yes","Desktop","No",56.9872299315766
"User 495","A","Yes","Desktop","No",40.6757401764611
"User 425","A","Yes","Desktop","No",23.1725263269624
"User 726","A","Yes","Desktop","No",0
"User 498","A","Yes","Desktop","Yes",26.2595174683391
"User 75","A","Yes","Desktop","No",68.7917353771135
"User 770","A","Yes","Desktop","Yes",158.554690948182
"User 692","A","Yes","Desktop","No",0
"User 942","A","Yes","Desktop","No",47.3039279164578
"User 306","A","Yes","Desktop","No",47.6724094907144
"User 1462","A","Yes","Desktop","No",50.632591894103
"User 574","A","Yes","Desktop","Yes",38.656441866164
"User 115","A","Yes","Desktop","Yes",0
"User 644","A","Yes","Desktop","No",0
"User 603","A","Yes","Desktop","Yes",41.7800985171932
"User 477","A","Yes","Desktop","Yes",0
"User 1435","A","Yes","Desktop","No",36.017010107851
"User 840","A","Yes","Desktop","No",0
"User 139","A","Yes","Desktop","No",0
"User 1360","A","Yes","Desktop","No",34.3536071764623
"User 547","A","Yes","Desktop","No",87.4125760034194
"User 665","A","Yes","Desktop","Yes",0
"User 897","A","Yes","Desktop","Yes",81.5181002949807
"User 1880","A","Yes","Desktop","Yes",0
"User 446","A","Yes","Desktop","No",0
"User 1104","A","Yes","Desktop","No",36.0025936578363
"User 1494","A","Yes","Desktop","No",46.6364507747301
"User 1027","A","Yes","Desktop","No",20.7265077497458
"User 1790","A","Yes","Desktop","Yes",62.8882138775757
"User 34","A","Yes","Desktop","No",24.4511367484235
"User 220","A","Yes","Desktop","No",48.6098667365972
"User 1373","A","Yes","Desktop","No",0
"User 1972","A","Yes","Desktop","No",41.7565267660277
"User 1213","A","Yes","Desktop","No",0
"User 627","A","Yes","Desktop","No",91.5429993663478
"User 944","A","Yes","Desktop","No",48.8979925005794
"User 427","A","Yes","Desktop","No",0
"User 1024","A","Yes","Desktop","No",36.044319345819
"User 1168","A","Yes","Desktop","No",94.1163489391183
"User 1499","A","Yes","Desktop","No",0
"User 1265","A","Yes","Desktop","No",40.5892466125057
"User 1829","A","Yes","Desktop","No",105.472524925218
"User 870","A","Yes","Desktop","No",47.5299665580431
"User 1930","A","Yes","Desktop","No",0
"User 981","A","Yes","Desktop","Yes",32.2370520227691
"User 107","A","Yes","Desktop","No",62.8787377272278
"User 388","A","Yes","Desktop","No",0
"User 1459","A","Yes","Desktop","Yes",107.938583962509
"User 1517","A","Yes","Desktop","No",51.1829334538191
"User 766","A","Yes","Desktop","Yes",28.3673841289891
"User 269","A","Yes","Desktop","No",68.5788853011348
"User 1812","A","Yes","Desktop","Yes",24.987713929792
"User 1928","A","Yes","Desktop","No",98.8054586252364
"User 1627","A","Yes","Desktop","Yes",0
"User 266","A","Yes","Desktop","Yes",115.781704272737
"User 1443","A","Yes","Desktop","No",34.205614619214
"User 1347","A","Yes","Desktop","No",42.8917076166452
"User 1107","A","Yes","Desktop","No",37.2309609019644
"User 1210","A","Yes","Desktop","No",29.6649402096783
"User 1652","A","Yes","Desktop","No",44.3485512274731
"User 1379","A","Yes","Desktop","No",0
"User 1042","A","Yes","Desktop","No",59.9994108251761
"User 147","A","Yes","Desktop","No",32.5598227212718
"User 509","A","Yes","Desktop","No",0
"User 1423","A","Yes","Desktop","No",25.2644568743372
"User 248","A","Yes","Desktop","No",0
"User 1804","A","Yes","Desktop","No",85.0692323952393
"User 1163","A","Yes","Desktop","No",85.5728068321586
"User 1766","A","Yes","Desktop","No",64.4389147540992
"User 910","A","Yes","Desktop","No",20.8035246767252
"User 1003","A","Yes","Desktop","No",0
"User 737","A","Yes","Desktop","No",20.207111691519
"User 732","A","Yes","Desktop","No",0
"User 1727","A","Yes","Desktop","Yes",0
"User 602","A","Yes","Desktop","No",25.4330848326398
"User 381","A","Yes","Desktop","No",33.0071118209336
"User 185","A","Yes","Desktop","Yes",0
"User 1382","A","Yes","Desktop","No",33.8324194148514
"User 869","A","Yes","Desktop","No",62.4191056260415
"User 927","A","Yes","Desktop","No",38.8957139831712
"User 30","A","Yes","Desktop","Yes",0
"User 238","A","Yes","Desktop","No",58.2587661496473
"User 1615","A","Yes","Desktop","Yes",44.4535491352956
"User 1877","A","Yes","Desktop","No",48.6886500237114
"User 1673","A","Yes","Desktop","Yes",97.6052811224469
"User 1273","A","Yes","Desktop","Yes",47.8686116313673
"User 1739","A","Yes","Desktop","No",67.6727946941533
"User 579","A","Yes","Desktop","No",98.2730526768949
"User 1206","A","Yes","Desktop","Yes",48.9835097273458
"User 854","A","Yes","Desktop","No",0
"User 1240","A","Yes","Desktop","No",47.5786900636003
"User 1109","A","Yes","Desktop","No",0
"User 568","A","Yes","Desktop","No",20.2838697512256
"User 336","A","Yes","Desktop","No",101.593243472674
"User 615","A","Yes","Desktop","No",0
"User 1641","A","Yes","Desktop","No",37.7610110768493
"User 1170","A","Yes","Desktop","No",66.9337375540153
"User 1133","A","Yes","Desktop","Yes",0
"User 914","A","Yes","Desktop","No",22.5872578118069
"User 1988","A","Yes","Desktop","No",106.043972740439
"User 1611","A","Yes","Desktop","No",0
"User 1856","A","Yes","Desktop","No",30.3128608263509
"User 998","A","Yes","Desktop","No",60.8332785950654
"User 506","A","Yes","Desktop","No",0
"User 1982","A","Yes","Desktop","No",0
"User 937","A","Yes","Desktop","No",0
"User 1716","A","Yes","Desktop","Yes",21.559746755005
"User 946","A","Yes","Desktop","Yes",0
"User 1010","A","Yes","Desktop","No",63.964378136004
"User 1219","A","Yes","Desktop","No",0
"User 285","A","Yes","Desktop","No",0
"User 1341","A","Yes","Desktop","No",52.1350469406672
"User 876","A","Yes","Desktop","No",0
"User 1388","A","Yes","Desktop","No",0
"User 697","A","Yes","Desktop","No",55.306576528822
"User 237","A","Yes","Desktop","No",45.8340237381276
"User 1554","A","Yes","Desktop","No",70.423710475934
"User 1939","A","Yes","Desktop","No",32.6840536888851
"User 42","A","Yes","Desktop","No",0
"User 46","A","Yes","Desktop","No",102.216276489307
"User 1920","A","Yes","Desktop","No",34.9677916850309
"User 913","A","Yes","Desktop","No",26.1388415845139
"User 210","A","Yes","Desktop","Yes",63.5226563490041
"User 1515","A","Yes","Desktop","No",36.148620570438
"User 55","A","Yes","Desktop","Yes",35.5883285347364
"User 1161","A","Yes","Desktop","No",108.305117531075
"User 288","A","Yes","Desktop","No",24.6319012718488
"User 1063","A","Yes","Desktop","No",62.7874144549715
"User 731","A","Yes","Desktop","No",59.6180457294372
"User 1408","A","Yes","Desktop","No",79.3206812353634
"User 481","A","Yes","Desktop","No",112.95856117459
"User 1291","A","Yes","Desktop","No",0
"User 1324","A","Yes","Desktop","No",38.2629215620023
"User 1222","A","Yes","Desktop","No",24.039248608226
"User 939","A","Yes","Desktop","No",0
"User 1821","A","Yes","Desktop","No",102.657153924967
"User 1511","A","Yes","Desktop","No",0
"User 318","A","Yes","Desktop","No",40.7620310698858
"User 1041","A","Yes","Desktop","Yes",40.2581936282232
"User 1897","A","Yes","Desktop","No",0
"User 1110","A","Yes","Desktop","No",32.0383570360172
"User 680","A","Yes","Desktop","No",22.8909698981415
"User 142","A","Yes","Desktop","No",33.1222027563719
"User 549","A","Yes","Desktop","No",65.2931597682936
"User 1288","A","Yes","Desktop","No",0
"User 1115","A","Yes","Desktop","Yes",62.6471358423445
"User 232","A","Yes","Mobile","No",33.2371555239033
"User 345","A","Yes","Mobile","Yes",29.3850011812338
"User 1932","A","Yes","Mobile","Yes",0
"User 1238","A","Yes","Mobile","Yes",88.3832301270826
"User 1476","A","Yes","Mobile","Yes",50.6064083388406
"User 1040","A","Yes","Mobile","No",92.4626272481793
"User 525","A","Yes","Mobile","Yes",102.829988446965
"User 682","A","Yes","Mobile","Yes",0
"User 130","A","Yes","Mobile","No",0
"User 1677","A","Yes","Mobile","Yes",69.5109788035511
"User 1118","A","Yes","Mobile","Yes",83.5387682866988
"User 1396","A","Yes","Mobile","Yes",0
"User 211","A","Yes","Mobile","Yes",47.9450037461927
"User 1602","A","Yes","Mobile","Yes",101.033191443255
"User 1203","A","Yes","Mobile","No",57.7483268671328
"User 1723","A","Yes","Mobile","Yes",0
"User 639","A","Yes","Mobile","Yes",25.5722867261395
"User 161","A","Yes","Mobile","No",21.4985747900152
"User 1884","A","Yes","Mobile","Yes",36.6412000974834
"User 78","A","Yes","Mobile","Yes",35.9997177689092
"User 1481","A","Yes","Mobile","No",0
"User 1472","A","Yes","Mobile","Yes",0
"User 1596","A","Yes","Mobile","Yes",67.0036492602915
"User 1202","A","Yes","Mobile","Yes",55.1582240384362
"User 1387","A","Yes","Mobile","Yes",0
"User 1618","A","Yes","Mobile","Yes",44.4628255192568
"User 798","A","Yes","Mobile","Yes",74.673679266902
"User 1390","A","Yes","Mobile","Yes",74.5579292646282
"User 545","A","Yes","Mobile","No",0
"User 194","A","Yes","Mobile","No",35.9056669049083
"User 1295","A","Yes","Mobile","Yes",0
"User 1418","A","Yes","Mobile","Yes",51.7375023071242
"User 1976","A","Yes","Mobile","Yes",37.4952221046005
"User 189","A","Yes","Mobile","Yes",93.5685134988446
"User 1292","A","Yes","Mobile","No",22.1237819385367
"User 177","A","Yes","Mobile","Yes",98.2631948046713
"User 567","A","Yes","Mobile","Yes",37.4512733178472
"User 79","A","Yes","Mobile","No",80.9829966265343
"User 347","A","Yes","Mobile","Yes",0
"User 280","A","Yes","Mobile","Yes",75.9892244624835
"User 553","A","Yes","Mobile","Yes",89.2843714111829
"User 26","A","Yes","Mobile","No",0
"User 114","A","Yes","Mobile","No",49.7166786905055
"User 1022","A","Yes","Mobile","Yes",46.7840634922692
"User 1152","A","Yes","Mobile","No",0
"User 1584","A","Yes","Mobile","Yes",0
"User 315","A","Yes","Mobile","No",0
"User 35","A","Yes","Mobile","Yes",0
"User 420","A","Yes","Mobile","Yes",0
"User 1092","A","Yes","Mobile","Yes",0
"User 212","A","Yes","Mobile","Yes",97.6234148101452
"User 1606","A","Yes","Mobile","No",0
"User 449","A","Yes","Mobile","Yes",0
"User 1757","A","Yes","Mobile","No",69.2474124359893
"User 529","A","Yes","Mobile","Yes",0
"User 410","A","Yes","Mobile","Yes",76.8651502187917
"User 1820","A","Yes","Mobile","Yes",50.0865634046487
"User 369","A","Yes","Mobile","Yes",54.7525398259718
"User 640","A","Yes","Mobile","Yes",0
"User 195","A","Yes","Mobile","No",27.378713588997
"User 675","A","Yes","Mobile","Yes",72.8010539725826
"User 1925","A","Yes","Mobile","Yes",60.2814886526551
"User 179","A","Yes","Mobile","No",43.1323534784814
"User 192","A","Yes","Mobile","Yes",44.9134496725651
"User 908","A","Yes","Mobile","No",22.708491245637
"User 1660","A","Yes","Mobile","Yes",66.771330450258
"User 756","A","Yes","Mobile","No",21.4780139483119
"User 1915","A","Yes","Mobile","No",0
"User 1941","A","Yes","Mobile","Yes",27.3573176081614
"User 221","A","Yes","Mobile","Yes",0
"User 989","A","Yes","Mobile","No",27.4109497697701
"User 689","A","Yes","Mobile","No",50.7177895090858
"User 1045","A","Yes","Mobile","Yes",145.234256900175
"User 1166","A","Yes","Mobile","Yes",64.9262977562493
"User 594","A","Yes","Mobile","Yes",43.5459571441683
"User 1221","A","Yes","Mobile","Yes",46.9784376378212
"User 1527","A","Yes","Mobile","No",80.2614717932621
"User 235","A","Yes","Mobile","No",23.5409073787102
"User 826","A","Yes","Mobile","No",56.3072472658589
"User 538","A","Yes","Mobile","Yes",23.1921749552725
"User 797","A","Yes","Mobile","Yes",81.3749445477838
"User 1969","A","Yes","Mobile","No",124.077202775785
"User 1519","A","Yes","Mobile","Yes",0
"User 950","A","Yes","Mobile","No",83.988827080553
"User 1551","A","Yes","Mobile","Yes",66.3788214112852
"User 1011","A","Yes","Mobile","No",63.0110846779886
"User 1056","A","Yes","Mobile","Yes",0
"User 1196","A","Yes","Mobile","No",62.76745773433
"User 1836","A","Yes","Mobile","No",130.602105964475
"User 422","A","Yes","Mobile","Yes",0
"User 631","A","Yes","Mobile","Yes",0
"User 1899","A","Yes","Mobile","Yes",34.8787333526057
"User 1439","A","Yes","Mobile","Yes",48.9925019081712
"User 1679","A","Yes","Mobile","Yes",102.981516911117
"User 1352","A","Yes","Mobile","No",0
"User 847","A","Yes","Mobile","Yes",0
"User 1437","A","Yes","Mobile","Yes",0
"User 1245","A","Yes","Mobile","Yes",39.1602377007523
"User 1737","A","Yes","Mobile","No",0
"User 1357","A","Yes","Mobile","Yes",22.3171514957675
"User 58","A","No",NA,NA,0
"User 144","A","No",NA,NA,71.8650011264855
"User 783","A","No",NA,NA,119.735869530589
"User 136","A","No",NA,NA,75.8131633214157
"User 687","A","No",NA,NA,101.998751575738
"User 447","A","No",NA,NA,0
"User 267","A","No",NA,NA,0
"User 391","A","No",NA,NA,28.7984200661087
"User 1838","A","No",NA,NA,0
"User 202","A","No",NA,NA,75.5816766039123
"User 801","A","No",NA,NA,34.0677445590533
"User 1366","A","No",NA,NA,24.250776701614
"User 48","A","No",NA,NA,28.1648645263082
"User 332","A","No",NA,NA,0
"User 1148","A","No",NA,NA,27.5989766224756
"User 203","A","No",NA,NA,73.0051667293889
"User 1190","A","No",NA,NA,85.7794128931604
"User 151","A","No",NA,NA,77.7099368555774
"User 260","A","No",NA,NA,38.8256143791305
"User 29","A","No",NA,NA,0
"User 494","A","No",NA,NA,95.1644076886565
"User 1407","A","No",NA,NA,35.6644394792182
"User 1074","A","No",NA,NA,38.4411297762575
"User 1216","A","No",NA,NA,106.647414034591
"User 60","A","No",NA,NA,0
"User 1646","A","No",NA,NA,56.9523414952938
"User 836","A","No",NA,NA,0
"User 1885","A","No",NA,NA,33.0469214516897
"User 1543","A","No",NA,NA,0
"User 666","A","No",NA,NA,59.1097868701753
"User 225","A","No",NA,NA,93.6500698148099
"User 1841","A","No",NA,NA,34.7110891900606
"User 796","A","No",NA,NA,71.2980622231175
"User 438","A","No",NA,NA,91.963416056829
"User 1888","A","No",NA,NA,80.1288958739589
"User 163","A","No",NA,NA,0
"User 1686","A","No",NA,NA,63.5748790523667
"User 1098","A","No",NA,NA,23.8243020213926
"User 412","A","No",NA,NA,0
"User 886","A","No",NA,NA,48.8584206966953
"User 1184","A","No",NA,NA,57.5721010665692
"User 1863","A","No",NA,NA,38.0534788837011
"User 1926","A","No",NA,NA,66.701204142062
"User 1740","A","No",NA,NA,53.8135312754227
"User 84","A","No",NA,NA,0
"User 1624","A","No",NA,NA,0
"User 358","A","No",NA,NA,0
"User 1851","A","No",NA,NA,21.8665949772537
"User 1808","A","No",NA,NA,56.6877237528632
"User 877","A","No",NA,NA,73.3592750291736
"User 1779","A","No",NA,NA,0
"User 1695","A","No",NA,NA,0
"User 93","A","No",NA,NA,135.382826920367
"User 677","A","No",NA,NA,0
"User 1080","A","No",NA,NA,0
"User 524","A","No",NA,NA,52.2654022989768
"User 959","A","No",NA,NA,0
"User 290","A","No",NA,NA,81.8948179892242
"User 1509","A","No",NA,NA,0
"User 1548","A","No",NA,NA,24.8772238188896
"User 1215","A","No",NA,NA,0
"User 610","A","No",NA,NA,87.0369846470701
"User 926","A","No",NA,NA,0
"User 1957","A","No",NA,NA,42.9717980505346
