"Orszag","IskolaTipusa","Nem","SzamitogepekOtthon","OraszamIskolaMat","OraszamIskolaTermTud","OraszamOtthonMat","OraszamOtthonTermTud","OraszamOtthonNyelv","KulonOrakMat","KulonOrakTermTud","KulonOrakNyelv","PontMat","PontSzovegertes","PontTermTud"
"HUN      ","Szakmunkaskepzo","Ferfi","1",3,12,2,3,NA,NA,NA,NA,489.054,426.41,463.291
"HUN      ","Szakmunkaskepzo","Ferfi","1",2,5,12,12,10,2,2,4,369.99,422.339,458.26
"HUN      ","Szakmunkaskepzo","Ferfi","1",3,3,12,10,14,15,14,18,354.94,272.324,309.631
"HUN      ","Szakmunkaskepzo","Ferfi","1",4,3,1,1,0,3,6,3,349.532,383.56,429.025
"HUN      ","Szakmunkaskepzo","Ferfi","2",2,0,2,5,2,2,5,5,339.388,340.245,323.782
"HUN      ","Szakmunkaskepzo","Ferfi","1",5,10,3,11,7,4,1,5,342.311,336.544,308.656
"HUN      ","Szakmunkaskepzo","Ferfi","1",3,7,15,8,4,1,2,1,423.942,398.408,449.955
"HUN      ","Szakmunkaskepzo","Ferfi",">=3",2,7,9,8,3,NA,NA,NA,341.754,401.349,411.218
"HUN      ","Szakmunkaskepzo","Ferfi","1",4,8,7,15,8,5,4,3,429.479,381.001,428.358
"HUN      ","Szakmunkaskepzo","Ferfi","1",3,3,1,2,0,0,1,1,384.845,353.163,364.215
"HUN      ","Szakmunkaskepzo","Ferfi","2",NA,NA,1,2,2,2,1,2,327.61,370.536,373.316
"HUN      ","Szakmunkaskepzo","Ferfi","1",3,0,30,29,14,15,16,19,350.764,320.808,368.145
"HUN      ","Szakmunkaskepzo","Ferfi","2",3,6,1,7,11,11,7,4,334.691,252.89,261.157
"HUN      ","Szakmunkaskepzo","No","0",2,0,3,0,3,0,2,3,386.618,314.927,404.906
"HUN      ","Szakmunkaskepzo","Ferfi","1",2,0,2,NA,3,NA,NA,NA,431.595,402.983,424.943
"HUN      ","Szakmunkaskepzo","Ferfi",NA,2,0,2,NA,2,2,5,3,417.915,381.247,364.308
"HUN      ","Szakmunkaskepzo","Ferfi","2",3,0,1,NA,1,NA,NA,NA,430.962,384.786,422.501
"HUN      ","Szakmunkaskepzo","Ferfi","1",3,0,6,NA,7,2,5,4,463.581,359,454.331
"HUN      ","Szakmunkaskepzo","Ferfi",">=3",2,0,1,0,1,0,0,0,521.878,347.03,399.562
"HUN      ","Szakmunkaskepzo","No","0",1,3,5,5,5,5,8,8,311.366,276.998,317.178
"HUN      ","Szakmunkaskepzo","Ferfi","2",NA,NA,1,NA,1,NA,NA,NA,540.433,524.218,568.309
"HUN      ","Szakmunkaskepzo","Ferfi",">=3",2,6,6,12,7,15,6,7,390.748,374.783,431.287
"HUN      ","Szakmunkaskepzo","Ferfi","2",3,5,5,10,6,1,3,3,441.994,382.01,412.423
"HUN      ","Szakmunkaskepzo","Ferfi",">=3",2,4,0,1,0,0,0,0,441.204,456.711,528.395
"HUN      ","Szakmunkaskepzo","Ferfi","2",3,3,17,11,19,13,15,14,414.577,308.187,327.363
"HUN      ","Szakmunkaskepzo","Ferfi","2",3,3,3,3,5,0,0,0,507.579,434.617,448.437
"HUN      ","Szakmunkaskepzo","Ferfi",">=3",4,3,4,5,2,20,20,20,383.573,292.436,352.062
"HUN      ","Szakmunkaskepzo","Ferfi","2",NA,NA,0,0,0,0,0,0,468.747,419.791,407.242
"HUN      ","Szakmunkaskepzo","Ferfi",">=3",2,4,4,7,2,0,0,0,514.114,501.288,525.475
"HUN      ","Szakmunkaskepzo","Ferfi","2",3,6,0,0,0,0,0,0,463.369,466.014,518.304
"HUN      ","Szakmunkaskepzo","Ferfi","1",2,4,NA,NA,NA,NA,NA,NA,421.074,376.29,406.435
"HUN      ","Szakmunkaskepzo","Ferfi","1",0,0,NA,NA,NA,NA,NA,NA,463.732,455.012,497.482
"HUN      ","Szakmunkaskepzo","Ferfi",">=3",NA,NA,26,26,26,15,15,15,413.689,484.184,484.519
"HUN      ","Szakmunkaskepzo","Ferfi",">=3",3,0,3,NA,3,NA,NA,NA,521.544,460.566,514.083
"HUN      ","Szakmunkaskepzo","Ferfi",">=3",1,0,0,0,0,0,0,0,313.656,330.735,334.296
"HUN      ","Szakmunkaskepzo","Ferfi",">=3",1,0,0,0,0,0,0,0,521.612,491.872,541.273
"HUN      ","Gimn4Osztalyos","No",">=3",3,4,6,5,2,NA,NA,NA,657.251,650.977,651.729
"HUN      ","Gimn4Osztalyos","No","1",3,4,NA,1,2,NA,NA,NA,653.337,602.201,645.867
"HUN      ","Gimn4Osztalyos","No","2",3,4,3,3,3,NA,NA,NA,464.363,542.442,496.564
"HUN      ","Gimn4Osztalyos","No",">=3",4,4,1,1,1,NA,NA,NA,440.929,390.697,421.174
"HUN      ","Gimn4Osztalyos","No","2",5,4,1,2,2,0,0,0,383.29,384.836,375.146
"HUN      ","Gimn4Osztalyos","No","2",4,4,1,2,2,0,0,0,532.934,572.399,510.627
"HUN      ","Gimn4Osztalyos","No",">=3",3,4,NA,NA,1,0,0,1,440.982,408.988,379.583
"HUN      ","Gimn4Osztalyos","No",">=3",4,4,1,2,15,0,1,NA,558.666,549.125,553.214
"HUN      ","Gimn4Osztalyos","No","2",4,4,9,7,3,1,1,1,536.428,524.93,538.816
"HUN      ","Gimn4Osztalyos","No","1",4,4,10,15,10,4,NA,NA,497.81,512.665,494.686
"HUN      ","Gimn4Osztalyos","No",">=3",3,4,2,3,2,NA,NA,NA,516.522,610.731,581.023
"HUN      ","Gimn4Osztalyos","No",NA,3,4,1,1,0,0,0,0,651.39,617.75,592.791
"HUN      ","Gimn4Osztalyos","No",">=3",3,4,1,2,1,NA,NA,NA,541.204,614.394,586.442
"HUN      ","Gimn4Osztalyos","No","1",4,4,2,2,2,0,0,0,428.434,464.585,424.845
"HUN      ","Gimn4Osztalyos","No","1",3,4,0,2,1,0,0,0,618.95,638.167,649.265
"HUN      ","Gimn4Osztalyos","Ferfi",">=3",4,4,4,1,4,6,4,4,485.852,483.004,526.199
"HUN      ","Gimn4Osztalyos","No","1",4,6,2,2,2,0,0,0,482.719,543.148,514.182
"HUN      ","Gimn4Osztalyos","Ferfi",">=3",4,6,5,2,6,0,2,3,502.21,415.871,423.174
"HUN      ","Gimn4Osztalyos","Ferfi","2",4,6,1,2,3,0,1,0,562.206,550.404,560.61
"HUN      ","Gimn4Osztalyos","Ferfi","1",4,6,7,6,10,2,0,4,569.69,560.949,603.671
"HUN      ","Szakkozep","No",">=3",4,4,4,3,3,2,4,1,427.697,400.734,401.427
"HUN      ","Szakkozep","No",">=3",4,4,4,4,4,NA,NA,NA,457.057,469.359,485.457
"HUN      ","Szakkozep","No",">=3",4,4,3,2,5,NA,1,NA,287.201,376.211,361.653
"HUN      ","Szakkozep","No","2",4,4,6,1,3,1,4,3,527.34,464.57,492.562
"HUN      ","Szakkozep","No","2",4,4,0,2,2,3,0,3,424.611,398.214,458.765
"HUN      ","Szakkozep","No","1",4,5,4,2,3,3,5,2,340.569,352.39,317.234
"HUN      ","Szakkozep","Ferfi","2",4,4,5,8,5,NA,NA,NA,444.026,396.019,460.94
"HUN      ","Szakkozep","Ferfi",">=3",4,4,1,1,1,0,0,0,535.974,569.389,574.166
"HUN      ","Szakkozep","Ferfi","2",4,4,0,1,1,0,0,0,500.032,400.391,489.973
"HUN      ","Szakkozep","Ferfi","1",4,4,NA,1,1,NA,NA,NA,568.801,555.753,623.992
"HUN      ","Szakkozep","Ferfi",">=3",4,4,1,2,2,0,0,0,525.14,418.422,502.656
"HUN      ","Szakkozep","Ferfi",">=3",4,4,3,2,1,NA,NA,NA,435.523,452.045,429.498
"HUN      ","Szakkozep","Ferfi","2",4,4,6,NA,2,NA,NA,NA,565.188,568.826,532.034
"HUN      ","Szakkozep","Ferfi","1",4,4,3,4,5,0,0,0,417.006,366.812,428.259
"HUN      ","Szakkozep","Ferfi","1",4,4,4,2,4,3,4,5,419.316,446.561,414.825
"HUN      ","Szakkozep","Ferfi","2",4,4,4,5,6,3,4,6,411.29,386.216,515.414
"HUN      ","Szakkozep","Ferfi","2",3,4,13,12,13,12,13,13,361.558,368.034,375.376
"HUN      ","Szakkozep","Ferfi",">=3",4,4,1,2,3,2,1,0,362.064,413.215,440.504
"HUN      ","Szakkozep","Ferfi","2",4,4,5,NA,5,NA,NA,NA,465.943,408.038,483.153
"HUN      ","Szakkozep","Ferfi",">=3",4,4,NA,NA,NA,NA,NA,NA,600.293,517.664,615.251
"HUN      ","Szakkozep","Ferfi",">=3",4,4,3,3,3,0,2,2,405.098,266.187,361.221
"HUN      ","Szakkozep","Ferfi","2",4,4,3,1,2,NA,NA,NA,504.756,528.345,531.334
"HUN      ","Szakkozep","Ferfi","1",4,4,20,10,30,NA,NA,NA,438.976,446.519,410.435
"HUN      ","Szakkozep","Ferfi",">=3",4,4,0,0,1,0,0,0,543.738,547.787,582.589
"HUN      ","Szakkozep","Ferfi","1",4,4,4,4,4,2,7,10,481.177,462.349,516.47
"HUN      ","Szakkozep","Ferfi","1",4,4,3,2,3,NA,1,2,480.043,457.882,467.809
"HUN      ","Szakkozep","Ferfi",">=3",4,4,3,1,1,0,0,0,511.877,513.118,582.075
"HUN      ","Szakkozep","Ferfi","2",5,4,7,1,10,0,0,0,445.728,482.07,495.437
"HUN      ","Szakkozep","Ferfi","1",5,4,2,NA,NA,NA,NA,NA,430.074,351.952,424.27
"HUN      ","Szakkozep","Ferfi","2",4,4,1,0,1,0,0,0,517.714,536.137,518.535
"HUN      ","Szakkozep","Ferfi","1",4,5,4,3,5,NA,2,NA,486.878,462.21,499.461
"HUN      ","Szakkozep","Ferfi","2",4,5,10,2,10,NA,NA,NA,570.627,506.102,554.944
"HUN      ","Szakkozep","Ferfi","1",4,5,0,1,1,0,0,0,511.618,488.855,480.81
"HUN      ","Szakkozep","Ferfi","2",4,5,10,3,10,0,0,0,544.944,496.968,548.016
"HUN      ","Gimn8Osztalyos","Ferfi",">=3",3,6,2,5,1,0,1,0,664.502,644.901,666.991
"HUN      ","Gimn8Osztalyos","No","2",4,6,2,2,4,0,1,0,511.507,550.49,554.612
"HUN      ","Gimn8Osztalyos","Ferfi",">=3",3,6,1,2,1,NA,NA,NA,582.795,534.037,592.982
"HUN      ","Gimn8Osztalyos","Ferfi",">=3",3,6,4,7,1,3,1,0,647.598,660.528,661.38
"HUN      ","Gimn8Osztalyos","Ferfi",">=3",3,6,9,11,4,NA,2,NA,623.551,554.123,564.9
"HUN      ","Gimn8Osztalyos","Ferfi","2",3,6,2,4,1,0,2,0,632.554,534.704,608.429
"HUN      ","Gimn8Osztalyos","Ferfi","2",3,6,2,8,3,2,0,0,652.548,641.705,636.141
"HUN      ","Gimn8Osztalyos","Ferfi","2",3,6,2,1,0,1,0,1,592.742,712.117,640.814
"HUN      ","Gimn8Osztalyos","Ferfi",">=3",3,6,1,1,1,0,0,0,647.685,621.644,647.121
"HUN      ","Gimn8Osztalyos","Ferfi",">=3",3,6,2,3,2,3,1,0,667.115,617.141,629.509
"HUN      ","Gimn8Osztalyos","Ferfi",">=3",3,6,2,5,1,1,0,0,537.033,511.192,518.947
"HUN      ","Gimn8Osztalyos","Ferfi",">=3",3,6,1,1,1,1,1,NA,468.164,483.227,449.824
"HUN      ","Gimn8Osztalyos","Ferfi",">=3",3,6,5,5,NA,1,1,0,680.421,614.312,652.786
"HUN      ","Gimn8Osztalyos","Ferfi","2",3,6,3,12,7,NA,NA,NA,633.775,618.664,674.425
"HUN      ","Gimn8Osztalyos","No","1",3,6,2,3,1,0,0,0,724.299,680.126,705.049
"HUN      ","Gimn8Osztalyos","No",">=3",3,6,6,9,6,0,0,0,555.836,628.182,594.304
"HUN      ","Gimn8Osztalyos","No","2",3,6,6,6,2,NA,NA,NA,524.031,584.144,527.755
"HUN      ","Gimn8Osztalyos","No","2",3,6,2,1,0,0,2,0,566.895,556.147,520.484
"HUN      ","Gimn8Osztalyos","Ferfi",">=3",3,7,3,7,5,0,0,0,603.734,639.574,627.422
"HUN      ","Gimn8Osztalyos","No",">=3",3,6,2,4,1,0,0,0,554.571,601.959,602.292
"HUN      ","Gimn8Osztalyos","No","2",3,6,2,6,1,0,0,0,513.099,536.947,584.578
"HUN      ","Gimn8Osztalyos","No",">=3",3,6,8,24,11,0,1,1,524.908,591.122,571.288
"HUN      ","Gimn8Osztalyos","No",">=3",4,7,3,6,3,NA,NA,NA,724.033,718.763,689.956
"HUN      ","Gimn8Osztalyos","No","1",3,6,3,4,2,0,2,0,525.189,589.208,536.262
"HUN      ","Gimn8Osztalyos","No","2",3,6,2,1,0,0,2,0,623.735,569.387,585.985
"HUN      ","Gimn8Osztalyos","Ferfi",">=3",3,6,2,3,1,NA,1,NA,620.23,608.486,614.625
"HUN      ","Gimn8Osztalyos","Ferfi",">=3",3,6,1,2,1,2,1,1,632.672,642.509,675.593
"HUN      ","Gimn8Osztalyos","Ferfi","2",4,6,0,1,0,0,0,0,693.328,593.218,630.455
"HUN      ","Gimn8Osztalyos","No",">=3",3,6,9,7,8,0,1,0,566.066,469.963,531.607
"HUN      ","Gimn8Osztalyos","No","2",3,6,3,2,4,NA,1,NA,522.036,538.912,567.087
"HUN      ","Gimn8Osztalyos","No",">=3",3,6,3,6,1,NA,NA,NA,664.288,587.796,619.888
"HUN      ","Gimn8Osztalyos","No","2",3,6,4,2,2,0,0,0,542.375,621.99,545.037
"HUN      ","Gimn8Osztalyos","No",NA,3,6,8,3,4,0,1,0,579.339,632.37,592.311
"HUN      ","Gimn6Osztalyos","No",">=3",3,6,7,2,1,0,0,0,487.199,486.835,510.814
"HUN      ","Gimn6Osztalyos","No","2",3,6,2,7,4,0,0,0,486.518,501.866,512.908
"HUN      ","Gimn6Osztalyos","No",">=3",5,4,5,6,2,1,2,0,571.529,575.968,546.794
"HUN      ","Gimn6Osztalyos","No","2",3,4,2,2,1,2,1,1,414.015,467.265,407.133
"HUN      ","Gimn6Osztalyos","No",">=3",3,4,1,1,1,NA,NA,NA,456.695,409.393,425.645
"HUN      ","Gimn6Osztalyos","No","1",5,4,6,4,4,4,5,3,451.809,517.15,465.9
"HUN      ","Gimn6Osztalyos","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,501.815,485.76,501.297
"HUN      ","Gimn6Osztalyos","No","2",3,4,4,2,0,1,0,0,511.339,537.415,556.928
"HUN      ","Gimn6Osztalyos","No","2",3,4,3,2,3,NA,1,NA,440.789,475.931,463.983
"HUN      ","Gimn6Osztalyos","No","1",3,4,1,1,1,NA,NA,NA,498.472,513.132,518.939
"HUN      ","Gimn6Osztalyos","No","0",3,4,1,1,1,1,1,1,495.788,516.669,575.37
"HUN      ","Gimn6Osztalyos","No","1",5,4,1,1,1,1,0,0,429.368,506.65,449.033
"HUN      ","Gimn6Osztalyos","No","2",5,4,5,4,1,1,1,NA,478.691,567.515,514.059
"HUN      ","Gimn6Osztalyos","No",">=3",5,4,3,2,0,NA,1,NA,522.502,528.18,549.837
"HUN      ","Gimn6Osztalyos","No","1",3,4,NA,1,5,1,NA,NA,491.47,508.972,509.08
"HUN      ","Gimn6Osztalyos","Ferfi","2",5,4,1,2,1,1,0,0,649.486,519.778,611.359
"HUN      ","Gimn6Osztalyos","Ferfi",">=3",5,4,3,NA,NA,NA,2,NA,676.602,560.46,678.576
"HUN      ","Gimn6Osztalyos","Ferfi","2",5,4,2,1,1,1,1,NA,529.623,565.585,596.623
"HUN      ","Gimn6Osztalyos","Ferfi",">=3",3,4,3,1,2,NA,NA,NA,558.436,577.03,531.391
"HUN      ","Gimn6Osztalyos","Ferfi","2",3,4,3,2,3,NA,1,1,503.011,407.668,463.114
"HUN      ","Gimn6Osztalyos","Ferfi",">=3",7,4,1,0,1,0,1,0,581.378,521.576,532.736
"HUN      ","Gimn6Osztalyos","Ferfi","2",5,4,5,6,4,5,5,4,664.682,560.224,617.166
"HUN      ","Gimn6Osztalyos","Ferfi",">=3",3,4,2,2,3,0,0,0,558.584,588.892,567.208
"HUN      ","Gimn6Osztalyos","Ferfi","2",6,4,5,4,2,2,1,1,647.256,592.741,612.836
"HUN      ","Gimn6Osztalyos","Ferfi","2",3,4,4,4,2,NA,NA,NA,608.284,555.412,570.244
"HUN      ","Gimn6Osztalyos","Ferfi","2",5,4,3,2,1,0,0,0,552.293,528.395,567.391
"HUN      ","Gimn6Osztalyos","No","1",5,6,5,5,0,0,2,0,698.435,640.648,682.176
"HUN      ","Gimn6Osztalyos","No","2",3,6,5,5,2,NA,NA,NA,522.995,579.103,512.08
"HUN      ","Gimn6Osztalyos","No","2",3,6,2,4,3,NA,NA,NA,453.505,561.23,471.187
"HUN      ","Gimn6Osztalyos","No",">=3",3,4,7,7,5,0,0,0,611.563,573.862,571.968
"HUN      ","Gimn6Osztalyos","No","2",3,3,3,1,4,0,0,0,516.026,577.615,538.45
"HUN      ","Gimn6Osztalyos","No","2",3,4,5,10,15,0,2,0,468.96,547.934,523.482
"HUN      ","Gimn6Osztalyos","No","2",3,3,5,2,4,0,0,0,613.908,574.037,597.402
"HUN      ","Gimn6Osztalyos","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,535.844,509.195,552.283
"HUN      ","Gimn6Osztalyos","No",">=3",3,4,3,3,3,NA,NA,NA,494.286,506.383,526.83
"HUN      ","Gimn6Osztalyos","No","2",3,3,5,3,5,0,1,0,465.147,497.526,547.27
"HUN      ","Gimn6Osztalyos","No","2",3,4,3,2,1,0,3,0,457.75,519.045,488.367
"HUN      ","Gimn6Osztalyos","No","2",3,4,2,1,2,1,2,0,534.364,509.087,482.415
"HUN      ","Gimn6Osztalyos","No",">=3",3,3,0,2,2,1,0,0,592.966,655.843,594.836
"HUN      ","Gimn6Osztalyos","No",">=3",3,4,3,4,4,0,0,0,672.271,678.358,673.412
"HUN      ","Gimn6Osztalyos","No","1",3,4,4,1,3,0,3,0,524.697,532.766,576.598
"HUN      ","Gimn6Osztalyos","No","2",3,3,0,1,0,1,0,0,580.334,614.884,600.111
"HUN      ","Gimn6Osztalyos","No","1",3,3,2,1,1,0,0,0,621.328,593.173,656.115
"HUN      ","Gimn6Osztalyos","No","2",3,4,3,1,2,0,0,0,567.187,543.288,565.407
"HUN      ","Gimn6Osztalyos","No","2",3,4,2,1,1,NA,1,NA,473.966,523.063,586.398
"HUN      ","Gimn6Osztalyos","No",">=3",3,3,3,5,3,1,1,0,486.549,493.115,535.606
"HUN      ","Gimn6Osztalyos","No",">=3",3,3,5,3,6,0,0,0,501.542,497.288,478.842
"HUN      ","Gimn6Osztalyos","No",">=3",3,4,1,2,2,0,2,1,485.308,512.978,534.899
"HUN      ","Gimn6Osztalyos","No","1",3,3,6,5,2,NA,3,NA,451.992,488.313,476.861
"HUN      ","Gimn6Osztalyos","No","2",3,3,6,6,3,NA,NA,NA,569.727,587.373,594.733
"HUN      ","Gimn6Osztalyos","No","2",3,4,4,3,2,0,2,0,510.952,556.401,562.109
"HUN      ","Gimn6Osztalyos","No","1",3,3,2,3,4,2,2,2,429.535,509.734,441.598
"HUN      ","Gimn6Osztalyos","No",">=3",3,3,6,2,2,1,3,2,501.35,419.527,409.542
"HUN      ","Gimn6Osztalyos","No",">=3",3,4,10,8,10,2,4,4,565.852,468.703,525.168
"HUN      ","Gimn6Osztalyos","No","1",3,3,12,12,12,NA,5,NA,467.483,495.387,523.308
"HUN      ","Gimn6Osztalyos","No",">=3",3,4,2,0,1,NA,NA,NA,554.749,554.715,575.285
"HUN      ","Gimn6Osztalyos","No","1",3,4,1,2,2,4,2,0,518.637,505.548,515.525
"HUN      ","Gimn6Osztalyos","No","2",3,6,3,2,4,0,0,0,476.87,546.591,533.229
"HUN      ","Gimn6Osztalyos","No","2",3,6,4,3,1,0,0,0,559.292,593.624,625.995
"HUN      ","Gimn6Osztalyos","No","2",3,6,2,1,3,0,0,0,525.337,516.095,531.686
"HUN      ","Gimn6Osztalyos","No",">=3",3,6,3,5,2,NA,3,NA,579.645,587.744,550.061
"HUN      ","Gimn6Osztalyos","No","2",3,5,4,4,2,2,1,0,661.216,667.6,672.431
"HUN      ","AltIskola","Ferfi","0",4,4,6,26,17,0,0,2,352.906,319.94,332.14
"HUN      ","AltIskola","No",">=3",2,5,0,4,5,0,0,0,374.538,406.919,391.764
"HUN      ","AltIskola","No","1",NA,NA,5,3,1,0,4,0,362.211,453.158,386.968
"HUN      ","AltIskola","Ferfi",">=3",3,4,3,4,5,0,2,0,597.991,520.45,555.309
"HUN      ","AltIskola","Ferfi","1",3,8,2,5,9,1,1,NA,353.939,459.903,439.6
"HUN      ","AltIskola","Ferfi",">=3",3,6,1,0,1,0,0,0,423.758,364.402,440.664
"HUN      ","AltIskola","Ferfi","0",3,5,NA,NA,NA,15,14,12,366.397,355.925,336.106
"HUN      ","AltIskola","Ferfi",NA,3,4,3,2,5,NA,NA,NA,394.291,374.459,402.013
"HUN      ","AltIskola","No","1",NA,5,NA,NA,NA,NA,NA,NA,278.037,370.881,311.338
"HUN      ","AltIskola","Ferfi","2",3,5,10,26,13,14,12,9,456.202,410.115,422.987
"HUN      ","AltIskola","Ferfi","1",NA,NA,NA,NA,NA,NA,NA,NA,280.638,382.585,384.9
"HUN      ","AltIskola","Ferfi",">=3",3,5,1,2,2,NA,1,NA,402.617,435.325,433.77
"HUN      ","AltIskola","Ferfi",">=3",3,5,2,3,2,0,1,0,499.988,428.591,429.71
"HUN      ","Gimn4Osztalyos","No","2",4,5,2,5,2,0,0,0,621.236,543.61,615.27
"HUN      ","Gimn4Osztalyos","No","1",4,5,2,2,2,0,0,0,546.735,662.771,633.089
"HUN      ","Gimn4Osztalyos","No",">=3",3,4,7,6,8,0,0,0,596.855,644.738,626.062
"HUN      ","Gimn4Osztalyos","No",">=3",4,4,6,5,4,NA,NA,NA,545.707,581.121,538.582
"HUN      ","Gimn4Osztalyos","No",">=3",4,4,3,3,6,0,0,0,563.973,613.796,544.084
"HUN      ","Gimn4Osztalyos","No","2",3,4,2,3,4,0,0,0,544.575,575.854,566.413
"HUN      ","Gimn4Osztalyos","No",">=3",4,5,0,8,5,1,0,0,525.341,589.07,553.045
"HUN      ","Gimn4Osztalyos","No","1",3,4,5,3,4,0,0,0,587.901,597.009,599.656
"HUN      ","Gimn4Osztalyos","No","2",4,5,15,15,15,NA,NA,NA,599.285,623.976,574.528
"HUN      ","Gimn4Osztalyos","No",">=3",3,4,1,2,2,NA,NA,NA,516.477,546.981,523.408
"HUN      ","Gimn4Osztalyos","No","2",5,4,6,7,7,6,6,5,559.216,655.763,612.371
"HUN      ","Gimn4Osztalyos","No","1",5,4,5,5,2,0,5,0,503.599,502.384,473.045
"HUN      ","Gimn4Osztalyos","Ferfi",">=3",3,4,5,3,5,NA,NA,NA,690.727,616.775,641.519
"HUN      ","Gimn4Osztalyos","Ferfi",">=3",5,4,7,7,7,0,0,0,640.186,560.124,565.408
"HUN      ","Gimn4Osztalyos","Ferfi","1",3,4,NA,NA,NA,NA,NA,NA,627.699,612.69,598.18
"HUN      ","Gimn4Osztalyos","Ferfi",">=3",5,4,4,5,10,1,NA,NA,594.509,635.541,598.897
"HUN      ","Gimn4Osztalyos","Ferfi",">=3",3,4,6,4,4,0,3,0,533.607,512.265,547.977
