Cocktail Name,Bartender,Company,Location,Ingredients,Garnish,Glassware,OfficialRating,AgeOfBartender
Yuzu Sazerac,Kenta Goto,Bar Goto,New York,"2 oz Nikka Coffey Grain Whisky, 2 tsp Cane Sugar Syrup, .125 tsp Yuzu-Infused Vieux Pontarlier Absinthe Francaise Superieure",,N/A,6,27
No3,Revae Schneider,Bar Siena,Chicago,"1.5 oz Hangar 1 Vodka, .75 oz Lemon Juice, .75 oz Ginger Zest, .5 oz Fragoli Strawberry, .5 oz Luxardo Bitter",Arugula,N/A,6,34
Winter Season,Michael Blum,Bar Stella,Los Angeles,"2 oz Barr Hill Honey Gin, 1 oz Lemon Juice, .25 oz Liquid Alchemist Orgeat, .25 oz Luxardo Maraschino Liqueur, 1 bsp Dijon Blue Curaçao",,Coupe,7,21
Creole,Kevin Diedrich,BDK Restaurant & Bar,San Francisco,"1.5 oz H by HINE, .75 oz Clement Creole Shrubb, .75 oz Fino Sherry, 2 dash Orange Bitters",Lemon Twist,Martini,5,68
The Douglas Tilden,Mo Hodges & Brian Felley,Benjamin Cooper,San Francisco,"2 oz Junipero Gin, .5 oz Lacuesta Blanco Vermouth, .25 oz Salers Gentiane Aperitif, 1 bsp Luxardo Maraschino Liqueur, 1 bsp Germain-Robin Absinthe, 2 dash Scrappy’s Lime Bitters","Lemon Twist, Edible Flower ",Cocktail Glass,,23
Iron Tonic,,Beretta,San Francisco,".75 oz Luxardo Maraschino Liqueur, .75 oz Genepy, .75 oz Luxardo Fernet, .75 oz Lime Juice, 1 float Tonic Water",,Coupe,9,12
Julia's Child,Calvin Marty,Best Intentions,Chicago,"1 oz Broker's Gin, 1 oz Karlsson's Gold Vodka, 2 oz Celery Root Puree, .5 oz Fresh Lemon Juice, .75 oz Simple Syrup, 3 dash Apple Bitters, 1 dash Angostura Bitters",Celery Leaf,Cocktail Glass,6,25
Farmer's Gold,Calvin Marty,Best Intentions,chicago,"2 oz Karlsson's Gold Vodka, .75 oz Fresh Lemon Juice, 1 oz Simple Syrup (1:1), 3 dash Regans' Orange Bitters, 5 large Basil Leaves, 16 whole Black Peppercorns","Lemon Swath, Basil Leaf",Cocktail Glass,6,230
Pants off Dance off,Sean Gleason,Biltong Bar,atlanta,".75 oz BarSol Perfecto Amor (Aperitif Wine), .5 oz Lime Juice, 1 oz Junipero Gin, .5 oz Grenadine, 1 dash Angostura Bitters, 1 drop Bittermens Burlesque Bitters",,N/A,6,23
Sidecar,Sean Gleason,Biltong Bar,atlanta,"2 oz HINE Rare VSOP, .75 oz Mathilde Orange XO Liqueur, .75 oz Lemon Juice, 1 tsp Demerara Syrup (2:1)",Lime Twist,Coupe,8,52
The King's Medicine,Matt Grippo,Blackbird,San Francisco,"1.5 oz King's Ginger Liqueur, .5 oz Luxardo Fernet, .25 oz BenRiach Curiositas Single Malt 10 YO, .75 oz Lemon Juice",Lemon Twist,Coupe,5,28
San Francisco Strong (Skrong),Matt Grippo,Blackbird,San Francisco,".75 oz Junipero Gin, .75 oz Tempus Fugit Kina L'Aero d'Or, .75 oz Luxardo Bitter Bianco, .75 oz Lemon Juice, .75 oz Egg Whites, .5 oz Rich Simple Syrup*",Matcha Powder,Cocktail Glass,8,23
Apples & Grapes,Matt Grippo,Blackbird,San Francisco,"1.5 oz Tempus Fugit Kina L'Aero d'Or, 1 oz C. Drouin Pommeau de Normandie, 2 dash Orange Bitters",,N/A,4,27
King's Medicine,,Blackbird,San Francisco,"1.5 oz King's Ginger Liqueur, .75 oz Lemon Juice, .5 oz Luxardo Fernet, .25 oz BenRiach Curiositas Single Malt 10 YO",Lemon Twist,Coupe,4,31
Bianco Americano,Matt Grippo,Blackbird,San Francisco,"1.5 oz Luxardo Bitter Bianco, 1 oz Tempus Fugit Kina L'Aero d'Or, .5 oz Junipero Gin","Grapefruit Twist, Thyme",N/A,9,32
Day For Night,Eric Quilty,Bon Marché,san francisco,"1.5 oz C. Drouin Calvados Selection, .5 oz La Quintinye Vermouth Rouge, .25 oz Pedro Ximenez Sherry, .25 oz Cannella Cinnamon Cordial, 1 dash Angostura bitters",Orange coin studded with 2 cloves,Nick & Nora,4,36
Redondo Beach,Morgan Schick,Bon Vivants,,"1.5 oz Chinaco Blanco Tequila, .25 oz F. Meyer Mirabelle (Yellow Plum), .5 oz Fino Sherry, .75 oz The Genuine Curacao Liqueur Blue, 2 oz Horchata, .5 oz Simple Syrup (2:1), .5 oz Lime Juice",Parasol,Rocks Glass,4,39
Buzzard's Bay,Morgan Schick,Bon Vivants,,"2 part No.3 London Dry Gin, .5 part Real Cranberry Juice, .25 part Luxardo Fernet, .5 part Lime juice, 1.5 part Puer Black Tea",Top with brine foam (optional),Rocks Glass,4,27
Knockemdown Key,Morgan Schick,Bon Vivants,,"2 oz English Harbour Rum, .5 oz Briottet Creme de Banane, .25 oz Luxardo Maraschino Liqueur, .5 oz Lime juice, 1 bsp Rich simple syrup",Lime Wheel,N/A,7,32
Coos Bay,Morgan Schick,Bon Vivants,,"1.5 oz Nikka Whisky Taketsuru Pure Malt 12 YO, .5 oz Etter Zuger Kirsch, .5 oz Doug Fir Riesling Syrup*, 15 dash Kombu tincture**",Seaweed,Old Fashioned Glass,9,24
Naughty Nikka,,Bonneville,Austin ,"2 oz Nikka Whisky Taketsuru Pure Malt 12 YO, 1 oz Fresh Ginger Syrup, 1 slice Orange slice, 1 dash Chinese Five Spice Bitters",,Old Fashioned Glass,8,28
Red Bud Trail,,Bonneville,austin,"1.5 oz No.3 London Dry Gin, .75 oz Luxardo Sangue Morlacco Cherry Liqueur, .5 oz Dry Vermouth, .25 oz Tempus Fugit Alessio Vermouth di Torino Rosso, 1 dash Angostura Bitters",Orange Twist,Martini,6,58
Strike No.3,"Jennifer Costello, Charles Lintott, Sarah Holmes",Bonneville,Austin,"2 oz No.3 London Dry Gin, .5 oz St. Germaine Elderflower Liqueur, .5 oz Orgeat Syrup, .5 oz Fresh Lemon Juice",Luxardo Cherry,Old Fashioned Glass,8,34
The Canevari Cocktail,Jeff Kinder,Bryant's Cocktail Lounge,Milwaukee,"1.5 oz Old Tom Gin, 1 oz Cocchi Vermouth di Torino, .5 oz Luxardo Bitter, 3 dash Angostura Bitters",Orange Twist,Cocktail Glass,,26
Merry Sherry Cobbler,Josh Trabulsi,Burritt Room,san francisco,"1.5 oz Christmas Spirit, 1 oz Oloroso Sherry, .25 oz Walnut Liqueur, 3 dash Regans' Orange Bitters, 3 dash Pear Bitters",,N/A,5,19
Cherry Bark Martinez,Josh Trabulsi,Burritt Tavern,san francisco,"2 oz Old Tom Gin, .75 oz Carpano Antica, 1 spoon Luxardo Maraschino Liqueur, 1 dash Angostura bitters, 2 dash Bittercube cherry bark bitters","Star anise, Lemon peel",N/A,7,21
Negroni Sorbetto,Hung Nguyen,Caffe Dante,New York,".5 oz Junipero Gin, .5 oz Luxardo Bitter, .5 oz Tempus Fugit Alessio Vermouth Bianco, .5 oz Dry Vermouth, 1 scoop Orange Sorbet, 2 drops Bittermens Orange Cream Citrate",Dehydrated Orange Wheel,Coupe,5,20
Oaxacan Martini,Gina Scheurte,Cala,San Francisco,"2 oz Mezcal, .5 oz Mandarine Napoleon, .5 oz Lime Juice, 1 oz Castelvetrano Olive Brine, 3 dash Fennel Bitters","Xoconostle, Stuffed Castelvetrano Olive",Coupe,9,31
You're Bitter Than That,Kevin Mabry,Capo Restaurant,Boston,".75 oz Blanco Tequila, .75 oz Luxardo Bitter Bianco, .75 oz Luxardo Sangue Morlacco Cherry Liqueur, .75 oz Fresh Lime Juice, .25 oz Rich Simple Syrup (2:1)",Orange Twist,Coupe,4,34
Neko Colada,Paul Taylor,Cherry Blossom PUB,Washington DC,"1 oz Miso washed White Rhum Agricole, 1 oz Cocchi Vermouth di Torino, .75 oz Falernum, .75 oz Coconut Cream, .25 oz Luxardo Amaretto di Saschira, .75 oz Lime, .5 oz Mandarin Orange",Pink Bendy Straw,,6,26
“Prepare for Destiny! Where’s my Pizza?”,Paul Taylor,Cherry Blossom PUB,Washington DC,"1 oz Green Hat Spring/Summer Gin, .25 oz Luxardo Maraschino Liqueur, .5 oz Lime, .5 oz Sugar Rich Simple, 1 dash Celery Bitters, 3 oz Fever-Tree Soda",Basil Leaf,,7,32
"Eat, Drink and Be Cherry",Paul Taylor,Cherry Blossom PUB,Washington DC,".75 oz Nikka Coffey Grain Whisky, .75 oz Luxardo Sangue Morlacco Cherry Liqueur, .5 oz Mendolera, .5 oz Cane Sugar, .5 oz Lemon, 3 oz Fever-Tree Soda",3 Cherries Picked ,,6,27
Wooster 53,Diego Sanchez,Cocteleria,New York,"1.5 oz No.3 London Dry Gin, .75 oz Grapefruit Juice, .75 oz Ginger/Cardamom/Honey Syrup*, .25 oz Lime Juice,  float Tonic Water",Grapefruit Twist,Champagne Flute,4,
Mango No. 3,Diego Sanchez,Cocteleria,New York,"2 oz No.3 London Dry Gin, .75 oz Lemon Juice, .25 oz Serrano Pepper Syrup*, 1.5 oz Mango Juice, 2 dash Angostura Bitters",Basil,,9,54
Final Ward,Douglas Ford,Cold-Glass.com,,".75 oz Rye Whiskey, .75 oz Green Chartreuse, .75 oz Luxardo Maraschino Liqueur, .75 oz Fresh Lemon Juice",,Cocktail Glass,9,26
Dernier Mot,Douglas Ford,Cold-Glass.com,,".75 oz Rhum Agricole, .75 oz Green Chartreuse, .75 oz Luxardo Maraschino Liqueur, .75 oz Fresh Lime Juice",,Cocktail Glass,6,39
The Asterisk,Douglas Ford,Cold-Glass.com,,".75 oz Brandy, .75 oz Green Chartreuse, .75 oz Luxardo Maraschino Liqueur, .75 oz Lemon Juice",,Cocktail Glass,6,24
The Silver Cocktail,Douglas Ford,Cold-Glass.com,,"1.5 oz Junipero Gin, 1.5 oz Dry Vermouth, .25 oz Luxardo Maraschino Liqueur, 2 dash Orange Bitters",Lemon,Cocktail Glass,6,18
Hippi Hill,Karri Cormican,Comstock Saloon,San Francisco,"1.5 oz Hophead Vodka, .75 oz King's Ginger Liqueur, .5 oz Lime Juice, .5 oz Cranberry Juice",Lime Wheel,Coupe,6,20
Pisco Punch (Adaptation by The Comstock Saloon),,Comstock Saloon,San Francisco,"1.5 oz BarSol Selecto Italia Pisco, .75 oz Small Hand Foods Pineapple Gum Syrup, .75 oz Lemon Juice, 3 dash Kaffir Tincture",Lemon Peel,,7,
Match Grip Julep,Jarred Weigand,Death  & Co.,New York,"1.5 oz H by HINE, .5 oz Jamaican Rum, 1 tsp Cacao, 1 tsp Branca Menta, 1 tsp Demerara, 1 dash Mole",,N/A,7,27
Muddled Mission,Joaquin Simo,Death & Co.,New York,"1.5 oz Junipero Gin, 1 oz St. Germain, .25 oz Yellow Chartreuse, .75 oz Lemon Juice, 1  Strawberry",Strawberry,Coupe,4,32
Solera Sidecar,Joaquin Simo,Death & Co.,New York,"1.5 oz H by HINE, .5 oz Lustau East India Solera, .25 oz Grand Marnier, .25 oz Luxardo Amaretto di Saschira, .5 oz Lemon Juice, .25 oz Simple Syrup",,Coupe,4,32
Flamenco,,Death & Co.,New York,"1.5 oz Lustau Amontillado Sherry, 1 oz Bols Genever, .5 oz Orange Juice, .5 oz Lemon Juice, .75 oz Luxardo Orgeat Syrup, 2 dash Angostura Bitters",,Coupe,6,
Boomin' Granny,Jillian Vose,Death & Co.,New York,"1.5 oz H by HINE, 1 oz Granny Smith Apple Juice, .5 oz Fresh Lime Juice, .5 oz Acacia Honey Syrup,  top Sparkling Wine",Granny Smith Apple Fan,Champagne Flute,5,28
Sidewinder,Phil Ward,Death & Co.,New York,"2 oz H by HINE, .5 oz Apple Brandy, .25 oz Benedictine, .25 oz Yellow Chartreuse, 1 dash Vieux Pontarlier Absinthe Francaise Superieure, 1 dash Peychaud's Bitters",,Coupe,5,33
Sade's Taboo,Jessica Gonzalez,Death & Co.,New York,"2 oz H by HINE, .75 oz Cocchi Americano, .75 oz Dolin Rouge Vermouth, 1 dash Bittermens Hopped Grapefruit Bitters",,Coupe,6,56
Conference,Brian Miller,Death & Co.,new york,".5 oz H by HINE, .5 oz Rye Whiskey, .5 oz Bourbon, .5 oz Calvados, 1 tsp Demerara Syrup, 2 dash Angostura Bitters, 1 dash Bittermens Xocolatl Mole Bitters","Lemon Twist, Orange Twist",Double Rocks Glass,9,-1
Long Division,Brandon Weiss,Departure,Denver,"1.5 oz Tequila, 1 oz Luxardo Maraschino Liqueur, .5 oz Aperol, .25 oz Lime Juice",Lime Peel,Champagne Flute,4,23
Creek Ran Dry,Brian Means,Dirty Habit,San Francisco,"1 oz Pear Brandy, 1 oz Dry Vermouth, .5 oz Chateau de Montifaud Pineau des Charentes Blanc, .5 oz Dolin Genepy",Orange Twist,Coupe,4,32
Mandrake,Brian Means,Dirty Habit,San Francisco,"1.5 oz BarSol Primero Quebranta Pisco, 1 oz BarSol Perfecto Amor (Aperitif Wine), .25 oz Leopold Bros. Bitter, .25 oz Velvet Falernum,   Red Hawaiian Salt",Orange Twist,Coupe,7,39
Short Round II,Brian Means,Dirty Habit,san fransisco,"2 oz Avuá Prata Cachaça, 2 oz Bacardi Superior Rum, 3 oz Chateau de Montifaud Pineau des Charentes Rose, 2 oz Lime Juice, 1 oz Cannella Cinnamon Cordial, 2 oz Simple Syrup",,,9,31
Short Round,,Dirty Habit,san fransisco,"5 oz Bacardi Superior Rum, 4 oz Chateau de Montifaud Pineau des Charentes Blanc, 3.5 oz Lemon Juice, 3.5 oz Velvet Falernum","Seasonal Fruit, Citrus Wheels",,7,20
Kentucky Garrigue,,Dirty Habit,san fransisco,"1.5 oz Wild Turkey 101 Bourbon, .75 oz Strawberry, Black Pepper Balsamic Shrub*, .75 oz Luxardo Sangue Morlacco Cherry Liqueur, 1 oz Fever-Tree Tonic Water",Pickled Strawberry or Fresh Strawberry,Collins,6,26
Negroni,,dirty habit,san fransisco,"1 oz No.3 London Dry Gin, 1 oz Campari, 1 oz Martini & Rossi Sweet Vermouth",Orange Slice,Old Fashioned Glass,10,34
Rudolph's Rose,Brian Means,Dirty Habit,san fransisco,"1.5 oz Christmas Spirit, .25 oz Luxardo Maraschino Liqueur, .5 oz Chateau de Montifaud Pineau des Charentes Rose, .75 oz Tempus Fugit Gran Classico Bitter",Luxardo Cherry,Coupe,4,28
Snow Bunny,Brian Means,Dirty Habit,san fransisco,"1.5 oz Christmas Spirit, .5 oz King's Ginger Liqueur, .5 oz Lemon juice, .5 oz Honey syrup, .5 oz Egg white, 2 oz Ale, 3 drops Dale DeGroff's Pimento Aromatic Bitters","Nutmeg, shaved",,7,42
A Tall Tell,Brian Means,Dirty Habit,san fransisco,"9 oz C. Drouin Calvados Selection, 6 oz Marrakesh Mint Tea, 6 oz Prosecco, 3 oz King's Ginger Liqueur, 2 oz Lemon Juice, 1.5 oz Velvet Falernum, .5 oz Dale DeGroff's Pimento Aromatic Bitters","Orange wheels studded with cloves, Mint sprigs",N/A,7,28
Far From the Tree,Brian Means,Dirty Habit,san fransisco,"1.5 oz C. Drouin Calvados Selection, .75 oz Orgeat, .5 oz Lemon Juice, 1 oz Pear & Celery Puree, .5  Egg white",Aged Kaffir Lime Zest,,5,27
Xmas in Juniper,Raul Ayala,Dirty Habit,san fransisco,"1 oz Junipero Gin, .75 oz Spiced Apricot Syrup*, .5 oz House-made Orgeat, .5 oz Lemon Juice,   Egg Whites,  top Anchor Christmas Ale 2016",Marigold Flower,,9,19
The 42nd Round,Raul Ayala,dirty habit,san fransisco,"1 oz Junipero Gin, 5 oz Compas Box Great King Street Blended Scotch Whisky, 1 oz Byrrh Grand Quinquina, .5 oz Anchor Christmas Ale 2016*, 2 dash Bittercube Corazon Bitters, 2 dash The Bitter Truth Orange Bitters",Orange Peel,N/A,5,22
The Nutty Sensation,Raul Ayala,Dirty Habit,san fransisco,".75 oz Junipero Gin, .75 oz H by HINE, .75 oz Chateau de Montifaud Pineau des Charentes Blanc, .75 oz Oloroso & Moscatel Blend*, 2 dash The Bitter Truth Xocolate Bitters, 2 dash Orange Bitters,   Walnut Oil",Dehydrated Orange,Coupe,8,33
Cream of the Crop,,Dirty Habit,san fransisco,"1 oz Mezcal, 1 oz King's Ginger Liqueur, .75 oz Coconut Pistachio Puree*, .75 oz Lemon Juice",Candied Ginger,,4,-1
A Bloody Shame,Brian Means,Dirty Habit,san fransisco,"1.5 oz Vodka, .5 oz Luxardo Amaretto di Saschira, .75 oz Blood Orange Vanilla Mint Puree*, .75 oz Lime Juice",Lime Wheel,Coupe,6,-1
Full of Bologna,Brian Means,Dirty Habit,san fransisco,"1 oz C. Drouin Calvados Selection, 1 oz Luxardo Amaro Abano, .75 oz Pear Watercress Puree, .75 oz Lemon Juice",Mint Oil,Coupe,6,61
You Go Glen Coco,Crystal Chasse,Dirty Habit,san fransisco,"1.25 oz Old Potrero Straight Rye Whiskey (Toasted Coconut Infused)*, .5 oz King's Ginger Liqueur, 1.25 oz Turmeric Coconut Cream**",Turmeric Toasted Coconut Flakes,Old Fashioned Glass,10,23
Just Beet It,Sarah Ruiz,Dirty Habit,San Francisco,"1.5 oz Junipero Gin, 1 oz Beet Thyme Reduction*, .5 oz Licor 43, .5 oz Lemon Juice, .5  Egg White",Candied Thyme,Coupe,8,19
Canary vs. the Coal Mine,Brian Means,Dirty Habit,San Francisco,".5 oz Old Forester Bonded Bourbon, .5 oz H by HINE, 1 oz Rock & Rye, 1 oz Cocchi Americano Rosa,   Activated Charcoal",Dried Apricot,Old Fashioned Glass,8,22
In HINEsight,Brian Means,Dirty Habit,San Francisco,"1.5 oz H by HINE, 1 oz Luxardo Bitter, .5 oz Quady Muscat Wine",Orange Peel,Old Fashioned Glass,10,24
Above My Pay Grade,Brian Means,Dirty Habit,San Francisco,"1.5 oz Semper Fi White Whiskey, .75 oz Chateau de Montifaud Pineau des Charentes Rose, .75 oz Tempus Fugit Gran Classico Bitter, 3 dash House-made Citrus Bitters",Orange Twist,Coupe,8,36
Polish Penance,Brian Means,Dirty Habit,San Francisco,"1.5 oz House-made Slivovitz (Plum Brandy), 1 oz Chamomile Tea-Infused Noilly Prat Dry Vermouth, .5 oz King's Ginger Liqueur, 3 dash Peychaud's Bitters",Lemon Twist,,8,21
Sloe & Steady,,Dirty Habit,San Francisco,"1.5 oz C. Drouin Calvados Selection, .75 oz Spirit Works Sloe Gin, .5 oz Bonal, 4 drops Black Salt Tincture",Orange Peel,Nick & Nora,9,18
Mayahuel's Revenge,Brian Means,dirty habit,San Francisco,"1.5 oz Chinaco Blanco Tequila, 1 oz Vermut Vermouth, .5 oz Giffard Banane du Brésil, 3 dash Bittercube Jamaican #2 Bitters",Lemon Zest,Coupe,6,20
Mean Martinez,Brian Means,Dirty Habit,,"1.5 oz Old Tom Gin, 1 oz Lustau East India Solera, .5 oz Grand Poppy Liqueur",,Nick & Nora,8,20
Dirt Nap,Brian Means,Dirty Habit,san francisco,"1.5 oz Noilly Prat Dry Vermouth*, .75 oz Oloroso Sherry, .75 oz King's Ginger Liqueur",,Nick & Nora,8,20
Iron Fist in a Velvet Glove,Brian Means,Dirty Habit,San Francisco,"1.25 oz Lillet Rose, .75 oz BarSol Primero Quebranta Pisco, .75 oz Prata Cachaca, .25 oz Velvet Falernum",Grapefruit Twist,Nick & Nora,7,-1
Under the Sun,Brian Means,Dirty Habit,san francisco,"1.5 oz Plantation Pineapple Rum, 1 oz BarSol Perfecto Amor (Aperitif Wine), .5 oz Ancho Reyes, 3 dash House-made Roasted Banana Bitters",Orange Twist,Old Fashioned Glass,10,22
B-String,NULL,Dirty Habit,San Francisco,"1.5 oz H by HINE, 1 oz Lustau Amontillado Sherry, .5 oz Giffard Banane du Brésil, 3 dash House-made Roasted Banana Bitters (or Bittermens Tiki Bitters)",Banana Chip,Coupe,9,-1
La La Land,Jaymee Mandeville,Drago Centro,Los Angeles,"1.5 oz Karlsson's Gold Vodka, .5 oz Aperol, .5 oz Raspberry/white pepper syrup, .5 oz Fresh lemon juice, .5 oz Fresh cucumber juice, 4-5 pc Fresh mint, 2 dashes Celery bitters",Cucumber slices,Old Fashioned Glass,9,34
Cut & Rum,Jose Pereiro,Drift Fish House & Oyster Bar,Atlanta,".75 oz Banks 5 Rum, .75 oz Denizen Aged White Rum , .75 oz Denizen Aged White Rum , .75 oz Luxardo Amaro Abano",Orange Peel,,7,27
Space Age Pop,Misty Kalkofen,Drink,Boston,"1 1/2 oz Chinaco Reposado, 1 oz Luxardo Amaro Abano, 1/2 oz Luxardo Maraschino Liqueur, 1/4 oz Fresh Lemon Juice",Orange Oil,N/A,9,33
Lux Shandy,Naomi Levy,Eastern Standard,Boston,"1 oz Luxardo Aperitivo, .5 oz Lemon Juice, .5 oz Orange Juice, .5 oz Simple Syrup,  top Anchor California Lager",Half Orange Wheel,Highball Glass,8,26
Don't Rock the Boat Punch,Kevin Martin,Eastern Standard,Boston,"1 part No.3 London Dry Gin, 1 part Rooibus Tea (steeped and cooled), 1 part Mulled Cider (cooled), .5 part Clover Honey Syrup, .33 part Cava,   Angostura",,N/A,8,35
Mott and Mulberry,Leo Robitschek,Eleven Madison Park,New York,"1 oz Luxardo Amaro Abano, 1 oz Old Overholt Rye, .5 oz Demerara Simple Syrup (1:1), .5 oz Lemon Juice, .75 oz Fuji Apple Cider",Apple Fan,Rocks Glass,9,42
The Hollinger Manhattan,,Elixir,San Francisco,"2 oz Rittenhouse Rye, .5 oz Sweet Vermouth, .25 oz Luxardo Maraschino Liqueur, .25 oz Duplais Swiss Absinthe Verte",Luxardo Cherry,Coupe,6,15
Piedra de sol,Graham Hunter Gregg,Expatriate,portland,"1.5 oz Mezcal, .75 oz Montenegro Amaro Liquore Italiano, .75 oz Calisaya Liqueur, 2 dash Regans' Orange Bitters No. 6",Lemon Peel,N/A,5,48
10 to 7,Gabriele Modica,Farina,San Francisco,"1 oz No. 209 Gin, 1 oz Luxardo Maraschino Liqueur, 1 oz St. Germain, 1 oz Lemon Juice",Lemon Peel Rind,Martini,7,27
Newton's Theory,Brian Means,Fifth Floor,San fransisco,"2 oz Nikka Whisky Taketsuru Pure Malt 12 YO, .75 oz C. Drouin Pommeau de Normandie, .25 oz Luxardo Maraschino Liqueur, 4 dash Black Walnut Bitters",apple spheres,Coupe,7,23
